latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
101,-96,3001,-107374182,27,2023-04-24 16:24:27.945110
197,-93,2997,-107374182,27,2023-04-24 16:24:28.380832
217,-100,2827,-107374182,33,2023-04-24 16:24:28.784942
121,-103,2836,-107374182,42,2023-04-24 16:24:29.168976
121,-102,3145,-107374182,48,2023-04-24 16:24:29.544316
121,-102,2929,-107374182,54,2023-04-24 16:24:29.933965
121,-102,2701,-107374182,48,2023-04-24 16:24:30.306444
121,-102,2442,-107374182,39,2023-04-24 16:24:30.671083
182,-101,2434,-107374182,33,2023-04-24 16:24:31.068985
146,-93,2638,-107374182,24,2023-04-24 16:24:31.495011
209,-98,2546,-107374182,30,2023-04-24 16:24:31.922392
187,-99,2341,-107374182,39,2023-04-24 16:24:32.356878
90,-104,2586,-107374182,45,2023-04-24 16:24:32.730357
90,-104,2557,-107374182,54,2023-04-24 16:24:33.105235
90,-104,2359,-107374182,51,2023-04-24 16:24:33.493242
90,-104,2132,-107374182,42,2023-04-24 16:24:33.857183
90,-102,1927,-107374182,36,2023-04-24 16:24:34.244758
194,-95,2263,-107374182,27,2023-04-24 16:24:34.676787
290,-98,2556,-107374182,27,2023-04-24 16:24:35.092488
248,-100,2448,-107374182,36,2023-04-24 16:24:35.480652
219,-104,2785,-107374182,42,2023-04-24 16:24:35.841050
219,-104,3351,-107374182,51,2023-04-24 16:24:36.224095
219,-104,3138,-107374182,54,2023-04-24 16:24:36.594216
219,-104,2837,-107374182,48,2023-04-24 16:24:36.963575
219,-104,2617,-107374182,39,2023-04-24 16:24:37.319195
133,-100,2557,-107374182,30,2023-04-24 16:24:37.722183
148,-95,2636,-107374182,24,2023-04-24 16:24:38.179994
223,-100,2528,-107374182,33,2023-04-24 16:24:38.612471
79,-102,2484,-107374182,39,2023-04-24 16:24:39.019553
79,-104,2919,-107374182,48,2023-04-24 16:24:39.396073
79,-104,2814,-107374182,54,2023-04-24 16:24:39.758525
79,-104,2595,-107374182,48,2023-04-24 16:24:40.135099
79,-104,2346,-107374182,42,2023-04-24 16:24:40.516310
220,-103,2168,-107374182,33,2023-04-24 16:24:40.915926
148,-93,2304,-107374182,24,2023-04-24 16:24:41.371832
220,-96,2274,-107374182,30,2023-04-24 16:24:41.780199
177,-102,2143,-107374182,36,2023-04-24 16:24:42.146646
101,-104,2404,-107374182,45,2023-04-24 16:24:42.524757
101,-104,2547,-107374182,51,2023-04-24 16:24:42.921820
101,-104,2351,-107374182,51,2023-04-24 16:24:43.307968
101,-104,2125,-107374182,45,2023-04-24 16:24:43.671222
101,-103,1960,-107374182,39,2023-04-24 16:24:44.030986
117,-99,2150,-107374182,30,2023-04-24 16:24:44.454656
199,-95,2282,-107374182,24,2023-04-24 16:24:44.927262
220,-100,2195,-107374182,33,2023-04-24 16:24:45.362837
105,-103,2195,-107374182,42,2023-04-24 16:24:45.750851
105,-103,2587,-107374182,48,2023-04-24 16:24:46.117322
105,-103,2426,-107374182,54,2023-04-24 16:24:46.509020
105,-103,2193,-107374182,45,2023-04-24 16:24:46.910190
105,-102,2023,-107374182,39,2023-04-24 16:24:47.286259
155,-97,2079,-107374182,30,2023-04-24 16:24:47.732078
223,-93,2385,-107374182,24,2023-04-24 16:24:48.157813
250,-99,2259,-107374182,33,2023-04-24 16:24:48.611858
123,-103,2171,-107374182,42,2023-04-24 16:24:49.001359
123,-104,2810,-107374182,48,2023-04-24 16:24:49.376587
123,-104,2796,-107374182,54,2023-04-24 16:24:49.735093
123,-104,2579,-107374182,48,2023-04-24 16:24:50.109932
123,-104,2331,-107374182,42,2023-04-24 16:24:50.470937
220,-100,2147,-107374182,33,2023-04-24 16:24:50.873340
181,-92,2355,-107374182,24,2023-04-24 16:24:51.313607
239,-99,2351,-107374182,30,2023-04-24 16:24:51.751378
195,-103,2187,-107374182,39,2023-04-24 16:24:52.157305
133,-103,2547,-107374182,45,2023-04-24 16:24:52.511338
133,-103,2698,-107374182,51,2023-04-24 16:24:52.874001
133,-103,2488,-107374182,51,2023-04-24 16:24:53.250349
133,-103,2249,-107374182,45,2023-04-24 16:24:53.623324
133,-102,2075,-107374182,36,2023-04-24 16:24:53.988473
94,-97,2173,-107374182,27,2023-04-24 16:24:54.439454
