raw latency,RSSI,filtered latency,TIMESTAMP,Drop?
2640,-94,1794,25.70340700000088,0
2236,-97,1830,26.067629999997735,0
1396,-100,1790,26.38121400000091,0
1776,-94,1765,26.67468799999915,0
1622,-102,1760,26.978719999999157,0
1746,-91,1745,27.313874999999825,0
2530,-102,1781,27.62764099999913,0
2400,-97,1835,27.981118999996397,0
2862,-99,1907,28.270954999999958,0
2630,-100,1982,28.570943999999145,0
2690,-98,2041,28.871417999995174,0
1670,-99,2041,29.135801999997057,0
1610,-97,2012,29.465777999997954,0
1332,-104,1957,29.789628999998968,0
1680,-90,1928,30.112820999995165,0
1616,-103,1896,30.40613999999914,0
1790,-93,1877,30.71017700000084,0
1746,-103,1868,31.02347799999552,0
1162,-97,1822,31.346999999994296,0
1972,-98,1815,31.688272999999754,0
1492,-102,1819,31.9858019999956,0
1870,-93,1810,32.262548999999126,0
2252,-101,1824,32.55288399999699,0
2446,-94,1865,32.84766999999556,0
1466,-101,1870,33.12236099999427,0
2046,-94,1860,33.417655999997805,0
2262,-102,1878,33.72281400000065,0
2142,-90,1910,34.05595699999685,0
1872,-104,1895,34.348941999996896,0
2010,-94,1891,34.692315000000235,0
1756,-101,1882,34.991769000000204,0
2144,-100,1865,35.328292999998666,0
2564,-95,1933,35.65020199999708,0
1730,-102,1949,35.937270999995235,0
1596,-90,1921,36.25461699999869,0
2130,-104,1911,36.50301399999444,0
3032,-90,1998,36.8722759999946,0
1842,-101,1980,37.177381999994395,0
2116,-97,1996,37.519390000001295,0
2066,-100,2023,37.804370999998355,0
2326,-101,2049,38.14616399999795,0
2440,-89,2097,38.487397999997484,0
2292,-102,2104,38.793690999998944,0
1820,-93,2145,39.145400000001246,0
1912,-101,2114,39.42166200000065,0
1372,-96,2087,39.73067599999922,0
1100,-101,2003,40.007376000001386,0
2130,-94,2001,40.26094400000147,0
2260,-103,2012,40.52642599999672,0
1732,-94,1999,40.859910999999556,0
1872,-96,1979,41.20934099999431,0
2446,-101,1987,41.53411399999459,0
2426,-94,2101,42.006076999998186,0
1742,-91,2065,42.41943999999785,0
1782,-101,2015,42.80460899999889,0
1380,-99,1986,43.18803099999786,0
2246,-90,1974,43.62303299999621,0
1812,-94,1973,44.0547729999962,0
2450,-104,1974,44.36581199999637,0
2166,-90,2005,44.73212899999635,0
1356,-102,1950,45.10495699999592,0
1940,-101,1934,45.49700499999744,0
1396,-96,1905,45.891428999995696,0
1282,-100,1854,46.19004000000132,0
1440,-100,1831,46.5157659999968,0
2252,-94,1858,46.83509200000117,0
1680,-103,1846,47.17096799999854,0
1880,-94,1843,47.53582599999936,0
1710,-103,1819,47.84930799999711,0
1986,-97,1831,48.20345699999598,0
2180,-95,1867,48.52698699999746,0
1896,-103,1885,48.870867999998154,0
1082,-95,1852,49.223901999997906,0
2800,-102,1857,49.45890800000052,0
2396,-93,1927,49.774351000000024,0
1070,-103,1896,50.02833899999678,0
1856,-91,1877,50.31293100000039,0
2090,-102,1884,50.57502099999692,0
1916,-94,1890,50.93818699999974,0
1870,-98,1883,51.272103999996034,0
1930,-100,1891,51.586591999999655,0
2450,-89,1939,51.95009399999981,0
1552,-104,1923,52.261222000001,0
1070,-95,1862,52.62965099999565,0
1610,-96,1826,52.96284100000048,0
1152,-102,1783,53.266969999996945,0
1482,-95,1757,53.573567999999796,0
882,-102,1707,53.834186000000045,0
1570,-93,1666,54.15009799999825,0
2120,-103,1683,54.4626070000013,0
1996,-91,1717,54.81724199999735,0
1592,-103,1699,55.11979900000006,0
1670,-97,1698,55.462837999999465,0
1806,-93,1719,55.81933099999878,0
1536,-103,1714,56.112685000000056,0
1530,-93,1704,56.47457700000086,0
2022,-102,1702,56.77091300000029,0
1866,-95,1723,57.10232900000119,0
1742,-99,1716,57.3557839999994,0
1362,-94,1712,57.64532499999768,0
1140,-100,1665,57.943672999994305,0
1882,-97,1675,58.24126899999828,0
2496,-94,1743,58.59834899999987,0
1580,-101,1770,58.91958799999702,0
1176,-90,1740,59.273708000000624,0
3040,-102,1783,59.5957419999977,0
1460,-97,1850,59.94145700000081,0
1560,-94,1814,60.32175699999789,0
1582,-102,1772,60.65017799999623,0
1630,-92,1760,60.96989599999506,0
1590,-101,1732,61.33177799999976,0
2260,-103,1781,61.7685730000012,0
1312,-100,1776,62.2319939999943,0
1650,-96,1794,62.713692999997875,0
1400,-91,1735,63.200614999994286,0
2016,-96,1738,63.66303799999878,0
1932,-103,1744,64.10712799999601,0
1780,-103,1767,64.53980999999476,0
1910,-94,1774,64.91546899999958,0
2130,-93,1812,65.37936400000035,0
1662,-101,1823,65.81349499999487,0
1950,-104,1813,66.2355349999998,0
1790,-93,1824,66.58985799999937,0
1252,-98,1781,66.94187199999578,0
2426,-103,1762,67.33833199999935,0
2070,-98,1871,67.80226699999912,0
2410,-92,1881,68.27471499999956,0
2798,-100,1971,68.60181799999555,0
1965,-98,2002,68.90236300000106,0
1930,-95,2002,69.20656600000075,0
2180,-102,1988,69.5801369999972,0
2402,-92,2029,69.94636599999649,0
1570,-101,1993,70.2777089999945,0
1542,-102,1959,70.65444500000012,0
1570,-90,1933,71.01813299999776,0
1616,-103,1901,71.32542799999646,0
1710,-97,1881,71.7014960000015,0
1792,-92,1879,72.05569199999445,0
1662,-100,1858,72.3269450000007,0
1990,-90,1863,72.62315099999978,0
1712,-104,1857,72.88965499999904,0
1772,-91,1857,73.20419499999844,0
2392,-102,1860,73.51917300000059,0
1970,-90,1890,73.84192099999927,0
1296,-103,1836,74.15538299999753,0
1540,-99,1813,74.47826799999893,0
2132,-96,1806,74.8224029999983,0
2736,-102,1873,75.14535700000124,0
1826,-93,1906,75.46969900000113,0
1480,-104,1874,75.77409899999475,0
1490,-94,1843,76.11819999999716,0
3160,-101,1892,76.36518799999612,0
2420,-95,1971,76.7099939999971,0
1522,-96,1945,77.04774599999655,0
1390,-101,1909,77.34856299999956,0
1732,-91,1888,77.69050299999799,0
1510,-104,1848,78.0133480000004,0
1312,-94,1814,78.38841899999534,0
1566,-92,1785,78.7923279999959,0
2116,-102,1792,79.07722600000125,0
2362,-92,1821,79.43224599999667,0
3646,-100,1944,79.77751799999533,0
2673,-97,2026,80.09159299999737,0
1570,-96,2006,80.44545300000027,0
622,-103,1928,80.74427399999695,0
1412,-90,1856,81.05125299999781,0
1466,-102,1829,81.30149800000072,0
2048,-92,1818,81.66287100000045,0
2271,-101,1866,82.04939300000115,0
2262,-102,1890,82.47705099999439,0
2232,-101,1968,82.97445499999594,0
1946,-92,1991,83.36433899999975,0
1992,-100,1973,83.77789900000062,0
1842,-103,1934,84.20235999999568,0
1620,-99,1925,84.61288100000093,0
1512,-91,1889,84.98664599999756,0
2800,-100,1909,85.40545199999906,0
1762,-104,1969,85.87797499999579,0
1912,-100,1947,86.30313000000024,0
2848,-94,2034,86.62859899999603,0
1852,-106,2033,86.92268599999807,0
1760,-90,2008,87.27843700000085,0
2120,-102,1983,87.63756399999693,0
1452,-99,1968,87.96374999999534,0
1902,-92,1950,88.30607800000143,0
2210,-102,1977,88.63967599999887,0
1726,-94,1960,89.00127200000134,0
1590,-99,1932,89.31569599999784,0
1700,-99,1921,89.66774299999815,0
1190,-92,1875,90.000460999996,0
2122,-102,1859,90.25229399999807,0
2662,-89,1923,90.58378999999695,0
1416,-104,1914,90.9040909999967,0
2146,-95,1912,91.27643499999976,0
2012,-94,1937,91.61209199999576,0
1740,-103,1936,91.94570199999725,0
2311,-91,1947,92.30912099999841,0
3775,-103,2062,92.64332399999694,0
2390,-100,2140,93.00834699999541,0
1602,-92,2108,93.38302799999656,0
1010,-102,2040,93.6348119999966,0
1270,-89,1972,93.94224899999972,0
1336,-103,1914,94.25169599999936,0
1766,-92,1889,94.61443999999756,0
1626,-99,1862,94.91971299999568,0
1782,-98,1865,95.2430400000012,0
2812,-91,1929,95.58761599999707,0
1932,-104,1951,95.91843700000027,0
1899,-94,1946,96.30271299999731,0
2666,-95,2010,96.68812099999923,0
1582,-102,2022,96.98316199999681,0
1606,-94,1989,97.2565340000001,0
1786,-102,1985,97.56224600000132,0
1550,-91,1965,97.88506999999663,0
2330,-101,1967,98.20866099999694,0
1482,-98,1971,98.57181099999434,0
1212,-93,1916,98.93537600000127,0
2270,-103,1904,99.25171499999851,0
2322,-93,1936,99.61062500000116,0
2576,-100,1987,99.9250619999948,0
1846,-97,2005,100.26266999999643,0
2082,-96,2015,100.56652999999642,0
1526,-100,1998,100.8507729999983,0
2196,-94,2000,101.14918300000136,0
1730,-102,1997,101.47997999999643,0
1526,-91,1977,101.82580700000108,0
1382,-102,1914,102.14896800000133,0
2022,-99,1920,102.5942189999987,0
1266,-95,1884,103.05603899999551,0
2640,-90,1945,103.55919100000028,0
1610,-99,1904,103.91492299999663,0
1142,-102,1852,104.28054999999586,0
1600,-91,1820,104.65179799999896,0
1410,-98,1772,105.01538599999913,0
1312,-103,1748,105.36269799999718,0
1842,-90,1736,105.75567700000101,0
1850,-102,1740,106.07708999999886,0
