latency,RSSI,attn1,attn2,TIMESTAMP
430,-90,[60],[2022],-107374182,32,2023-04-05 16:19:38.882385
406,-91,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235]",-107374182,33,2023-04-05 16:19:47.992981
406,-91,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39, 35]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235, 224]",-107374182,34,2023-04-05 16:19:48.256098
404,-92,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39, 35, 41]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235, 224, 210]",-107374182,35,2023-04-05 16:19:48.531737
401,-92,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39, 35, 41, 51]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235, 224, 210, 200]",-107374182,36,2023-04-05 16:19:48.782669
402,-92,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39, 35, 41, 51, 38]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235, 224, 210, 200, 190]",-107374182,36,2023-04-05 16:19:49.047470
401,-94,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39, 35, 41, 51, 38, 39]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235, 224, 210, 200, 190, 179]",-107374182,37,2023-04-05 16:19:49.345396
393,-96,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39, 35, 41, 51, 38, 39, 49]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235, 224, 210, 200, 190, 179, 169]",-107374182,38,2023-04-05 16:19:49.631253
388,-96,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39, 35, 41, 51, 38, 39, 49, 34]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235, 224, 210, 200, 190, 179, 169, 161]",-107374182,39,2023-04-05 16:19:49.895049
397,-96,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39, 35, 41, 51, 38, 39, 49, 34, 34]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235, 224, 210, 200, 190, 179, 169, 161, 152]",-107374182,40,2023-04-05 16:19:50.178676
393,-97,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51, 39, 35, 41, 51, 38, 39, 49, 34, 34, 48]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247, 235, 224, 210, 200, 190, 179, 169, 161, 152, 145]",-107374182,40,2023-04-05 16:19:50.430886
