latency,RSSI,attn1,attn2,TIMESTAMP
415,-83,[43],[160],-107374182,25,2023-04-05 16:18:33.835906
394,-85,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79]",-107374182,28,2023-04-05 16:18:38.595225
394,-86,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76]",-107374182,29,2023-04-05 16:18:38.878567
393,-87,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75]",-107374182,29,2023-04-05 16:18:39.141594
391,-88,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72]",-107374182,30,2023-04-05 16:18:39.431787
390,-88,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70]",-107374182,31,2023-04-05 16:18:39.696444
388,-89,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68]",-107374182,32,2023-04-05 16:18:39.963449
388,-89,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67]",-107374182,33,2023-04-05 16:18:40.276404
386,-91,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67]",-107374182,33,2023-04-05 16:18:40.510187
386,-92,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70]",-107374182,34,2023-04-05 16:18:40.782111
384,-91,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72]",-107374182,35,2023-04-05 16:18:41.047949
384,-93,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71]",-107374182,36,2023-04-05 16:18:41.304858
381,-93,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70]",-107374182,36,2023-04-05 16:18:41.563249
382,-94,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70]",-107374182,37,2023-04-05 16:18:41.832397
380,-94,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72]",-107374182,38,2023-04-05 16:18:42.107881
377,-95,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74]",-107374182,39,2023-04-05 16:18:42.365688
379,-96,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73]",-107374182,39,2023-04-05 16:18:42.648999
377,-96,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73]",-107374182,40,2023-04-05 16:18:42.933790
377,-98,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74]",-107374182,41,2023-04-05 16:18:43.181753
367,-97,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74]",-107374182,42,2023-04-05 16:18:43.497993
343,-98,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83]",-107374182,43,2023-04-05 16:18:43.765522
364,-99,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91]",-107374182,43,2023-04-05 16:18:44.034399
359,-99,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97]",-107374182,44,2023-04-05 16:18:44.283661
273,-100,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128]",-107374182,45,2023-04-05 16:18:44.535255
177,-103,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457]",-107374182,45,2023-04-05 16:18:44.799891
220,-101,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049]",-107374182,45,2023-04-05 16:18:45.067057
118,-101,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066, 3384]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049, 1445]",-107374182,44,2023-04-05 16:18:45.352458
94,-100,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066, 3384, 2454]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049, 1445, 1513]",-107374182,43,2023-04-05 16:18:45.617885
264,-99,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066, 3384, 2454, 3655]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049, 1445, 1513, 1576]",-107374182,42,2023-04-05 16:18:45.888547
405,-97,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066, 3384, 2454, 3655, 14325]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049, 1445, 1513, 1576, 2340]",-107374182,42,2023-04-05 16:18:46.151994
405,-96,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066, 3384, 2454, 3655, 14325, 6806]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049, 1445, 1513, 1576, 2340, 2831]",-107374182,41,2023-04-05 16:18:46.409377
403,-96,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066, 3384, 2454, 3655, 14325, 6806, 50]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049, 1445, 1513, 1576, 2340, 2831, 2740]",-107374182,40,2023-04-05 16:18:46.682009
406,-96,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066, 3384, 2454, 3655, 14325, 6806, 50, 58]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049, 1445, 1513, 1576, 2340, 2831, 2740, 2582]",-107374182,39,2023-04-05 16:18:46.954108
406,-94,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066, 3384, 2454, 3655, 14325, 6806, 50, 58, 52]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049, 1445, 1513, 1576, 2340, 2831, 2740, 2582, 2434]",-107374182,39,2023-04-05 16:18:47.199530
405,-95,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066, 3384, 2454, 3655, 14325, 6806, 50, 58, 52, 67]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049, 1445, 1513, 1576, 2340, 2831, 2740, 2582, 2434, 2249]",-107374182,38,2023-04-05 16:18:47.484440
405,-94,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066, 3384, 2454, 3655, 14325, 6806, 50, 58, 52, 67, 61]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049, 1445, 1513, 1576, 2340, 2831, 2740, 2582, 2434, 2249, 2079]",-107374182,37,2023-04-05 16:18:47.768106
405,-94,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066, 3384, 2454, 3655, 14325, 6806, 50, 58, 52, 67, 61, 49]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049, 1445, 1513, 1576, 2340, 2831, 2740, 2582, 2434, 2249, 2079, 1959]",-107374182,36,2023-04-05 16:18:48.037045
404,-93,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066, 3384, 2454, 3655, 14325, 6806, 50, 58, 52, 67, 61, 49, 54]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049, 1445, 1513, 1576, 2340, 2831, 2740, 2582, 2434, 2249, 2079, 1959, 1847]",-107374182,36,2023-04-05 16:18:48.300807
404,-92,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066, 3384, 2454, 3655, 14325, 6806, 50, 58, 52, 67, 61, 49, 54, 49]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049, 1445, 1513, 1576, 2340, 2831, 2740, 2582, 2434, 2249, 2079, 1959, 1847, 1742]",-107374182,35,2023-04-05 16:18:48.553019
405,-91,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066, 3384, 2454, 3655, 14325, 6806, 50, 58, 52, 67, 61, 49, 54, 49, 41]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049, 1445, 1513, 1576, 2340, 2831, 2740, 2582, 2434, 2249, 2079, 1959, 1847, 1742, 1611]",-107374182,34,2023-04-05 16:18:48.837832
404,-91,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066, 3384, 2454, 3655, 14325, 6806, 50, 58, 52, 67, 61, 49, 54, 49, 41, 53]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049, 1445, 1513, 1576, 2340, 2831, 2740, 2582, 2434, 2249, 2079, 1959, 1847, 1742, 1611, 1519]",-107374182,33,2023-04-05 16:18:49.095840
400,-94,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066, 3384, 2454, 3655, 14325, 6806, 50, 58, 52, 67, 61, 49, 54, 49, 41, 53, 52]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049, 1445, 1513, 1576, 2340, 2831, 2740, 2582, 2434, 2249, 2079, 1959, 1847, 1742, 1611, 1519, 1404]",-107374182,33,2023-04-05 16:18:49.373635
400,-92,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066, 3384, 2454, 3655, 14325, 6806, 50, 58, 52, 67, 61, 49, 54, 49, 41, 53, 52, 41]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049, 1445, 1513, 1576, 2340, 2831, 2740, 2582, 2434, 2249, 2079, 1959, 1847, 1742, 1611, 1519, 1404, 1324]",-107374182,32,2023-04-05 16:18:49.653971
401,-93,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066, 3384, 2454, 3655, 14325, 6806, 50, 58, 52, 67, 61, 49, 54, 49, 41, 53, 52, 41, 40]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049, 1445, 1513, 1576, 2340, 2831, 2740, 2582, 2434, 2249, 2079, 1959, 1847, 1742, 1611, 1519, 1404, 1324, 1225]",-107374182,31,2023-04-05 16:18:49.943465
400,-91,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52, 41, 41, 41, 37, 40, 50, 52, 94, 86, 99, 42, 55, 95, 90, 86, 65, 77, 88, 82, 214, 209, 192, 1044, 8464, 12066, 3384, 2454, 3655, 14325, 6806, 50, 58, 52, 67, 61, 49, 54, 49, 41, 53, 52, 41, 40, 40]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81, 79, 76, 75, 72, 70, 68, 67, 67, 70, 72, 71, 70, 70, 72, 74, 73, 73, 74, 74, 83, 91, 97, 128, 457, 1049, 1445, 1513, 1576, 2340, 2831, 2740, 2582, 2434, 2249, 2079, 1959, 1847, 1742, 1611, 1519, 1404, 1324, 1225, 1133]",-107374182,30,2023-04-05 16:18:50.254580
