latency,RSSI,attn1,TIMESTAMP
-96,310,47,1693393272663250000
-99,291,51,1693393272959146500
-101,270,52,1693393273225171800
-100,113,49,1693393273489300500
-98,151,45,1693393273821041000
-93,213,44,1693393274087864100
-99,208,47,1693393274368132800
-98,193,50,1693393274652195500
-101,178,52,1693393274887284300
-100,15,49,1693393275228814100
-97,15,45,1693393275508982400
-95,73,43,1693393275794155800
-96,118,47,1693393276109204600
-100,126,50,1693393276373966300
-101,118,52,1693393276624395100
-102,167,50,1693393276890956300
-100,156,46,1693393277207091900
-95,220,43,1693393277505312500
-96,240,46,1693393277805913300
-98,199,50,1693393278117800900
-102,219,52,1693393278372535200
-101,27,50,1693393278640297800
-98,57,46,1693393278940566600
-95,135,43,1693393279237737000
-100,142,46,1693393279536771000
-99,120,50,1693393279835972300
-100,126,52,1693393280117229000
-100,180,50,1693393280384061300
-99,146,46,1693393280682092500
-96,218,43,1693393280961435500
-95,253,46,1693393281227060600
-98,255,49,1693393281523580900
-103,236,52,1693393281777432400
-101,80,51,1693393282040221300
-100,210,47,1693393282303480500
-97,260,44,1693393282616745800
-94,313,45,1693393282897475900
-96,316,48,1693393283180190500
-100,315,51,1693393283447209500
-104,246,51,1693393283716944000
-99,70,48,1693393283986590600
-97,117,45,1693393284268006900
-94,137,44,1693393284566152400
-96,178,48,1693393284867654700
-101,187,51,1693393285136765800
-102,135,52,1693393285388112500
-101,220,49,1693393285684786000
-98,224,45,1693393285995961900
-94,292,44,1693393286279047500
-94,301,47,1693393286545561900
-99,301,50,1693393286847752300
-101,247,52,1693393287130959000
-101,75,49,1693393287416950100
-98,101,45,1693393287716850600
-94,170,43,1693393288000513400
-99,181,47,1693393288305172200
-100,137,51,1693393288602170800
-102,104,52,1693393288852143400
-99,204,49,1693393289167606900
-98,237,45,1693393289479806000
-98,255,44,1693393289764070200
-100,267,47,1693393290062503600
-100,239,50,1693393290331723200
-102,212,52,1693393290597807700
-102,210,49,1693393290893828000
-97,230,46,1693393291171521100
-95,288,43,1693393291477209700
-97,326,47,1693393291758915300
-99,327,50,1693393292027400100
-102,289,52,1693393292294427300
-102,94,50,1693393292562371400
-99,108,46,1693393292859771200
-96,154,43,1693393293142229200
-99,146,46,1693393293424340500
-100,144,49,1693393293724367200
-101,149,52,1693393294005751700
-102,220,50,1693393294293199100
-98,183,47,1693393294572116800
-100,172,43,1693393294871386800
-100,223,45,1693393295154522300
-100,209,49,1693393295436588300
-101,200,52,1693393295703647000
-101,148,51,1693393295949078600
-101,220,48,1693393296234440400
-96,261,44,1693393296500306500
-94,322,44,1693393296782479700
-96,327,47,1693393297062430100
-100,300,51,1693393297330276900
-102,244,52,1693393297596170900
-103,107,49,1693393297862535200
-97,124,45,1693393298191451500
-95,159,43,1693393298461537100
-100,174,47,1693393298760544300
-98,133,50,1693393299054089400
-102,146,52,1693393299307743400
-100,164,49,1693393299582851000
-97,168,46,1693393299880801800
-95,223,43,1693393300195954800
-96,265,47,1693393300496083000
-98,269,50,1693393300765526000
-101,258,52,1693393301017660800
-100,97,49,1693393301331176000
-98,113,46,1693393301598670100
-95,170,43,1693393301930017000
-95,198,47,1693393302214361900
-99,158,50,1693393302514282000
-103,167,52,1693393302752122300
-101,220,50,1693393303004634500
-101,204,47,1693393303288261700
-96,244,43,1693393303555308800
-99,270,45,1693393303853205200
-98,276,49,1693393304166365500
-101,299,52,1693393304448519500
-102,179,50,1693393304702583200
-100,61,47,1693393304971761700
-99,115,44,1693393305256110900
-94,176,44,1693393305491485000
-96,169,48,1693393305790046500
-101,177,51,1693393306058692600
-102,69,52,1693393306309394300
-100,189,49,1693393306576093400
-97,215,45,1693393306896476000
-94,273,43,1693393307177212600
-96,305,47,1693393307446085700
-98,233,50,1693393307734591800
-102,263,52,1693393307992879300
-100,121,49,1693393308276037400
-99,146,46,1693393308576693500
-99,171,43,1693393308874005600
-99,209,46,1693393309126530900
-99,211,49,1693393309392514900
-101,228,52,1693393309677580100
-102,105,50,1693393309945909900
-100,220,47,1693393310214837000
-97,254,44,1693393310495166000
-95,310,45,1693393310776914000
-97,325,48,1693393311065745000
-100,292,52,1693393311358397800
-101,240,51,1693393311594512000
-100,82,48,1693393311861795300
-98,123,45,1693393312126754800
-93,175,43,1693393312413004200
-99,181,47,1693393312697329900
-100,137,51,1693393313010019400
-102,132,52,1693393313257463000
-102,172,49,1693393313528434900
-97,195,46,1693393313813588600
-100,181,43,1693393314097701500
-99,235,46,1693393314365918700
-100,228,49,1693393314644327000
-103,248,52,1693393314913968500
-101,76,50,1693393315196913600
-100,74,47,1693393315484510900
-95,135,43,1693393315780855400
-95,165,45,1693393316048747000
-96,166,49,1693393316347394000
-101,165,52,1693393316629433000
-103,60,51,1693393316898973100
-100,220,47,1693393317176402800
-97,277,44,1693393317475930000
-97,307,45,1693393317812669400
-101,290,49,1693393318087078900
-100,318,52,1693393318370864900
-100,193,51,1693393318603501900
-100,106,48,1693393318864050100
-96,103,44,1693393319164710400
-94,165,44,1693393319448323700
-96,189,47,1693393319716897400
-100,191,51,1693393319996859700
-103,181,52,1693393320248693300
-100,212,49,1693393320545000800
-98,228,45,1693393320843492600
-93,274,44,1693393321142923800
-96,314,47,1693393321426171700
-99,265,50,1693393321722199300
-102,262,52,1693393321971753100
-103,76,49,1693393322272716100
-98,111,45,1693393322572420800
-98,146,44,1693393322887915600
-100,184,47,1693393323172723400
-100,163,51,1693393323470165000
-101,117,52,1693393323722717400
-100,211,49,1693393324003070800
-96,191,46,1693393324284184000
-97,236,43,1693393324569610700
-95,275,46,1693393324852686600
-99,290,50,1693393325135927400
-102,276,52,1693393325402908200
-104,134,50,1693393325671031100
-98,40,46,1693393325969767800
-97,93,43,1693393326236869400
-97,121,45,1693393326521486300
-98,86,49,1693393326804114300
-100,107,52,1693393327075132000
-103,6,51,1693393327327210900
-101,219,48,1693393327605592600
-97,257,44,1693393327874067300
-94,277,44,1693393328140381600
-97,317,47,1693393328422682600
-100,325,51,1693393328707641600
-102,290,52,1693393328971546000
-101,88,48,1693393329273397300
-98,128,45,1693393329558187900
-93,181,43,1693393329837651300
-97,179,47,1693393330139673900
-99,180,50,1693393330422383000
-102,137,52,1693393330700438100
-102,212,48,1693393331017700700
-97,252,45,1693393331313162200
-93,290,44,1693393331610676000
-96,315,47,1693393331924404500
-99,326,51,1693393332188783000
-102,320,52,1693393332440147900
-101,117,49,1693393332741662400
-97,116,45,1693393333011616300
-100,78,44,1693393333342377600
-100,93,47,1693393333606521400
-99,112,50,1693393333891037300
-103,118,52,1693393334144551200
-101,165,49,1693393334423137100
-99,150,46,1693393334715001900
-95,213,43,1693393334998610200
-96,235,46,1693393335311800400
-98,246,50,1693393335578005200
-101,210,52,1693393335844603600
-102,104,50,1693393336130842000
-99,233,46,1693393336428358800
-94,301,43,1693393336726362200
-95,324,46,1693393337024498700
-98,328,50,1693393337322664300
-101,304,52,1693393337590012800
-102,165,50,1693393337891642600
-100,147,46,1693393338188171200
-95,187,43,1693393338488546000
-96,239,46,1693393338766223500
-97,250,49,1693393339031739100
-101,247,52,1693393339280416900
-102,141,50,1693393339563065000
-100,42,47,1693393339878169600
-96,114,43,1693393340163685600
-94,155,45,1693393340429491900
-96,159,48,1693393340712123300
-100,133,52,1693393341011298200
-103,33,51,1693393341236654100
-99,217,48,1693393341514892000
-97,265,44,1693393341811436700
-99,277,44,1693393342105446300
-102,285,47,1693393342383460800
-98,258,51,1693393342650264300
-103,246,52,1693393342886977600
-102,62,49,1693393343166338800
-96,56,45,1693393343479026500
-96,109,43,1693393343761420800
-96,142,47,1693393344054811600
-99,152,50,1693393344341897600
-102,137,52,1693393344591501800
-101,183,50,1693393344859466100
-101,199,46,1693393345163415400
-95,248,43,1693393345441507900
-95,287,46,1693393345722056300
-100,255,49,1693393345988865900
-101,241,52,1693393346259033700
-101,154,50,1693393346541740800
-99,30,47,1693393346839009100
-95,72,44,1693393347107419000
-96,92,45,1693393347393009500
-100,81,49,1693393347706645500
-101,47,52,1693393347977752600
-101,157,51,1693393348246016400
-99,80,47,1693393348573680400
-96,131,44,1693393348855019500
-93,185,45,1693393349120575400
-97,193,48,1693393349387448900
-100,192,51,1693393349667077000
-102,87,52,1693393349918238600
-100,226,48,1693393350197836000
-98,240,45,1693393350494341200
-93,293,44,1693393350800137100
-97,312,47,1693393351063177000
-98,320,50,1693393351329323600
-102,311,52,1693393351581714700
-101,135,49,1693393351881011500
-98,156,46,1693393352165452400
-100,169,43,1693393352450287800
-99,232,46,1693393352730426900
-102,232,50,1693393353013336200
-101,208,52,1693393353264648000
-101,82,50,1693393353516407400
-100,223,47,1693393353799093700
-96,276,43,1693393354130715700
-96,329,45,1693393354413931200
-97,329,49,1693393354682224500
-102,305,52,1693393354949939600
-102,204,51,1693393355199969600
-99,125,47,1693393355512920700
-96,181,43,1693393355859266600
-94,220,45,1693393356142462700
-97,231,49,1693393356439605700
-100,230,52,1693393356706904300
-102,134,51,1693393356989175900
-100,61,47,1693393357287226300
-97,82,43,1693393357585811900
-93,145,45,1693393357851963100
-98,154,48,1693393358117269900
-100,160,52,1693393358447435600
-101,98,51,1693393358697384700
-101,169,48,1693393358964739100
-97,220,44,1693393359262726700
-95,275,45,1693393359574800500
-97,278,48,1693393359844114900
-100,273,51,1693393360113956800
-102,187,52,1693393360366410400
-102,38,48,1693393360679434400
-98,95,44,1693393360979215700
-98,121,44,1693393361246997300
-99,138,47,1693393361527565600
-100,114,51,1693393361814017400
-101,87,52,1693393362078870400
-101,177,49,1693393362344280300
-99,158,46,1693393362630039400
-95,194,43,1693393362943460100
-96,266,46,1693393363213623800
-100,264,50,1693393363497894100
-102,254,52,1693393363759332200
-101,86,49,1693393364067458800
-96,111,46,1693393364352508700
-95,151,43,1693393364634267300
-96,171,46,1693393364915447500
-99,145,50,1693393365214407200
-102,146,52,1693393365464843900
-103,220,50,1693393365731271400
-99,210,47,1693393366028006800
-96,260,43,1693393366326730200
-95,293,45,1693393366610123400
-98,300,49,1693393366925225200
-101,293,52,1693393367205665800
-102,101,50,1693393367484332900
-100,42,46,1693393367780752800
-95,98,43,1693393368077402600
-96,134,45,1693393368346002500
-96,141,49,1693393368629138200
-99,135,52,1693393368880590700
-102,29,51,1693393369163392800
-98,165,47,1693393369457630700
-97,199,44,1693393369732626500
-94,242,45,1693393370031361300
-97,269,48,1693393370317936400
-100,279,52,1693393370631063000
-103,181,51,1693393370884898800
-101,99,47,1693393371197781400
-100,120,44,1693393371510129000
-98,167,45,1693393371810145300
-100,193,48,1693393372075779600
-100,187,52,1693393372375880800
