latency,RSSI,attn1,TIMESTAMP
385,-82,28,1691682182308839100
390,-85,32,1691682182466476900
407,-89,36,1691682182624776800
409,-92,40,1691682182784799500
381,-95,44,1691682182954337200
389,-100,48,1691682183108299300
500,-103,52,1691682183278760900
664,-104,56,1691682183435161200
680,-104,60,1691682183589886100
680,-104,56,1691682183745514100
680,-104,44,1691682183918235400
406,-92,36,1691682184092228300
382,-82,24,1691682184249187400
383,-76,22,1691682184408174300
394,-80,26,1691682184565424500
402,-84,30,1691682184725091800
407,-87,34,1691682184882379400
417,-91,38,1691682185040537900
383,-95,42,1691682185197683300
434,-99,46,1691682185367143100
460,-102,50,1691682185523588400
607,-103,54,1691682185696540400
680,-103,58,1691682185864860800
680,-103,60,1691682186021994000
680,-103,48,1691682186179960400
669,-95,40,1691682186332812200
419,-90,28,1691682186491177100
388,-77,20,1691682186662480200
397,-78,24,1691682186819809500
404,-82,28,1691682186978891800
412,-85,32,1691682187134646600
417,-90,36,1691682187292599100
432,-92,40,1691682187449012800
383,-97,44,1691682187604869700
389,-98,48,1691682187762256600
498,-103,52,1691682187919621500
653,-104,56,1691682188076463100
680,-104,60,1691682188229931300
680,-104,60,1691682188385429100
680,-103,48,1691682188542518200
387,-93,36,1691682188713033800
394,-86,24,1691682188869531800
405,-77,20,1691682189021389800
403,-78,24,1691682189178896700
412,-82,28,1691682189336688700
420,-86,32,1691682189493398400
380,-91,36,1691682189651682200
404,-94,40,1691682189836050200
421,-98,44,1691682189992654300
428,-103,48,1691682190148635800
537,-104,52,1691682190302288500
680,-105,56,1691682190459638000
680,-105,60,1691682190615488400
680,-105,52,1691682190787702000
680,-98,40,1691682190958648400
392,-90,32,1691682191114501900
400,-81,20,1691682191271643000
412,-78,22,1691682191427680900
415,-80,26,1691682191583218900
420,-85,30,1691682191756897200
399,-89,34,1691682191913064900
404,-93,38,1691682192068302900
406,-97,42,1691682192240950000
430,-98,46,1691682192397069000
487,-103,50,1691682192553334800
640,-104,54,1691682192714002600
680,-104,58,1691682192870160200
680,-104,60,1691682193040264600
680,-103,48,1691682193197156500
390,-93,36,1691682193369645400
409,-88,28,1691682193525056800
413,-84,22,1691682193714793800
400,-87,26,1691682193869159200
405,-89,30,1691682194027253200
412,-95,34,1691682194183841600
419,-100,38,1691682194341606200
386,-99,42,1691682194501149300
391,-98,44,1691682194657887100
443,-101,48,1691682194817455900
604,-103,52,1691682194974056600
680,-103,56,1691682195132606700
680,-103,60,1691682195290142400
680,-103,52,1691682195446303300
680,-98,44,1691682195604783800
393,-90,32,1691682195762514500
398,-82,20,1691682195920261100
407,-78,22,1691682196092800200
383,-81,26,1691682196248453000
387,-85,30,1691682196407016600
394,-88,34,1691682196565694600
401,-92,38,1691682196723891700
410,-94,42,1691682196879424400
415,-98,46,1691682197038518700
424,-103,50,1691682197194125400
582,-103,54,1691682197349692600
